gene,fold.change,p.adjvalue,rank,pvalue
B230307C23Rik,-0.274916222,0.047178525,-2.15E+00,0.007101084
B230311B06Rik,0,1,0.00E+00,
B230312C02Rik,0.01448596,1,1.73E-01,0.671723839
B230319C09Rik,-0.092627925,1,-1.43E+00,0.037520351
B230323A14Rik,0,1,0.00E+00,
B230344G16Rik,-0.047544499,0.704236856,-3.27E-01,0.470962074
B230354K17Rik,0.092469148,0.566371824,4.97E-01,0.318554579
B230369F24Rik,-0.074036077,0.57575894,-4.84E-01,0.328382535
B230398E01Rik,-0.251918405,0.109917215,-1.63E+00,0.023362382
B2m,0.661254319,5.79E-12,1.35E+01,2.94E-14
B330016D10Rik,0.018114287,0.930083392,7.24E-02,0.846425098
B3galnt1,0.037405981,1,3.89E-01,0.408310551
B3galnt2,-0.073943624,0.620052994,-4.27E-01,0.374259221
B3galt1,-0.015393507,1,-2.02E-01,0.628622288
B3galt2,-0.010195306,1,-2.09E-01,0.617510578
B3galt4,0.016732919,0.933469092,6.84E-02,0.85433943
B3galt5,-0.041120698,0.830936028,-1.85E-01,0.652380032
B3galt6,-0.042431226,0.830936028,-1.86E-01,0.652138717
B3galt9,-0.039435129,1,-4.31E-01,0.370381966
B3gat1,-0.012838588,1,-1.59E-01,0.692904476
B3gat2,-0.081952082,1,-7.60E-01,0.173687442
B3gat3,0.171705162,0.168509008,1.35E+00,0.044884118
B3glct,-0.184375092,0.107931101,-1.65E+00,0.022639683
B3gnt2,-0.055875446,0.713283519,-3.17E-01,0.482363881
B3gnt3,0.121400174,0.238474556,1.12E+00,0.076320491
B3gnt4,-0.046524089,1,-5.78E-01,0.264006072
B3gnt5,0.134350256,0.394810127,7.65E-01,0.171705574
B3gnt6,0.022351192,0.88801948,1.18E-01,0.761439761
B3gnt7,0.230358538,0.0927151,1.74E+00,0.018098938
B3gnt8,0,1,0.00E+00,
B3gnt9,0.001593241,0.993682897,6.15E-03,0.985940128
B3gntl1,-0.106430757,0.47833691,-6.27E-01,0.236171357
B430010I23Rik,0.033241699,1,3.53E-01,0.443845376
B430105G09Rik,-0.016160134,1,-1.04E-01,0.787458958
B430209F14Rik,-0.013195012,1,-1.31E-01,0.739087581
B430212C06Rik,-0.030929828,1,-4.18E-01,0.381979721
B430306N03Rik,-0.025991496,1,-3.34E-01,0.463173489
B430319F04Rik,-0.253934425,1,-2.66E+00,0.002209674
B430319G15Rik,-0.076025652,1,-9.71E-01,0.106984294
B4galnt1,0.210763909,0.019967672,2.67E+00,0.002128272
B4galnt2,0.187959164,0.02606466,2.52E+00,0.003035796
B4galnt3,-0.25522203,0.024226645,-2.56E+00,0.002747508
B4galnt4,-0.485535091,1.11E-05,-6.62E+00,2.41E-07
B4galt1,0.19389446,0.062021978,1.98E+00,0.010522184
B4galt2,-0.098203521,0.49525445,-5.98E-01,0.252316351
B4galt3,0.070668629,0.59679745,4.56E-01,0.35004306
B4galt4,0.380629483,0.004697339,3.50E+00,0.000319167
B4galt5,0.219036113,0.109951154,1.63E+00,0.02337725
B4galt6,0.031209449,0.853323687,1.62E-01,0.68877055
B4galt7,-0.152386775,0.300228179,-9.61E-01,0.109377197
B4gat1,0.212103523,0.13917206,1.48E+00,0.033359051
B930018H19Rik,-0.092972963,1,-6.94E-01,0.202247328
B930025P03Rik,0.017899015,1,3.84E-01,0.413115165
B930059L03Rik,-0.08589089,0.489433971,-6.07E-01,0.247419265
B930092H01Rik,0.009322454,1,1.87E-01,0.650603056
B930095G15Rik,0,1,0.00E+00,
B9d1,0.182648887,0.234092566,1.13E+00,0.074217317
B9d1os,-0.01553231,1,-1.22E-01,0.754544401
B9d2,0.093708513,0.566416994,4.97E-01,0.318737717
BB014433,0,1,0.00E+00,
BB019430,0,1,0.00E+00,
BB031773,0,1,0.00E+00,
BB123696,0.013597383,1,1.83E-01,0.656877217
BB187676,-0.010195306,1,-2.09E-01,0.617510578
BB218582,0,1,0.00E+00,
BB283400,0.043163243,1,5.32E-01,0.293990251
BB557941,-0.186818654,0.178573348,-1.31E+00,0.048798727
BC002059,0.010779113,0.953515257,4.67E-02,0.898086042
BC004004,0.003413032,0.983395713,1.55E-02,0.964916427
BC005537,-0.084929327,0.420801599,-7.20E-01,0.190509106
BC005624,0.239948478,0.047671732,2.14E+00,0.007215145
BC006965,-0.009206517,0.954711116,-4.54E-02,0.900807558
BC016548,0,1,0.00E+00,
BC016579,0.078695827,0.650182084,3.87E-01,0.409928265
BC018473,2.610283051,1.07E-10,1.22E+01,6.87E-13
BC024063,0.129480628,0.406962744,7.43E-01,0.180702338
BC024139,0.027122593,0.888292453,1.18E-01,0.762011947
BC024386,-0.008680944,1,-1.75E-01,0.6688176
BC026513,0.003383869,1,2.35E-02,0.947409304
BC028471,-0.008680944,1,-1.75E-01,0.6688176
BC028528,-0.015682916,1,-9.74E-02,0.799089557
BC030343,0.013606785,1,1.10E-01,0.776503004
BC030500,0.009322454,1,1.87E-01,0.650603056
BC031181,-0.259128596,0.017872096,-2.74E+00,0.001836481
BC031361,0.025852631,0.893554878,1.13E-01,0.770160903
BC034090,-0.05115238,1,-5.11E-01,0.30796618
BC035044,0.006304823,1,3.94E-02,0.913367145
BC037039,-0.131774608,0.308161079,-9.44E-01,0.113790474
BC037156,0,1,0.00E+00,
BC037704,-0.065708499,0.646112458,-3.92E-01,0.405459006
BC039771,-0.52123834,0.024434588,-2.56E+00,0.00278377
BC039966,-0.008680944,1,-1.75E-01,0.6688176
BC040756,-0.026492533,1,-5.36E-01,0.291356203
BC042761,0.030449712,1,4.15E-01,0.384731416
BC043934,-0.004275152,1,-3.81E-02,0.915957952
BC046251,-0.058138727,1,-1.04E+00,0.092237176
BC048507,0,1,0.00E+00,
BC048559,-0.017338366,1,-3.64E-01,0.43277503
BC048562,0,1,0.00E+00,
BC048602,0.011431264,1,2.35E-01,0.581892658
BC048644,-0.026761243,1,-1.60E-01,0.692132965
BC048671,0,1,0.00E+00,
BC048679,0,1,0.00E+00,
BC049715,-0.023051508,1,-1.45E-01,0.716905296
BC049987,0.015354427,0.934836582,6.63E-02,0.858339758
BC050972,0,1,0.00E+00,
BC051019,-0.003818732,1,-4.63E-02,0.898907883
BC051076,0,1,0.00E+00,
BC051077,0.179511779,1,1.48E+00,0.033232664
BC051226,0.011810801,0.948702568,5.20E-02,0.887080492
BC051408,0,1,0.00E+00,
BC051537,-0.010252134,1,-6.72E-02,0.856588785
BC051665,0,1,0.00E+00,
BC055402,0.009322454,1,1.87E-01,0.650603056
BC061237,0,1,0.00E+00,
BC064078,0.026865809,0.883946149,1.25E-01,0.749739252
BC065397,-0.005280301,0.978067863,-2.04E-02,0.954207768
BC065403,0,1,0.00E+00,
BC080696,0,1,0.00E+00,
BC106179,-0.00388044,1,-5.07E-02,0.889842871
BC107364,-0.010352786,1,-9.02E-02,0.812443771
BE692007,0.009322454,1,1.87E-01,0.650603056
BE949265,0,1,0.00E+00,
Baalc,-0.026338403,1,-2.81E-01,0.523040808
Baat,0.118477049,0.357131231,8.38E-01,0.145073592
Babam1,0.125454285,0.340951779,8.72E-01,0.134277653
Babam2,-0.034813154,0.843442615,-1.72E-01,0.67239358
Bace1,-0.067556444,0.654274798,-3.83E-01,0.414298939
Bace2,0.43912623,0.000636612,4.59E+00,2.57E-05
Bach1,0.011694199,0.944066231,5.67E-02,0.877674807
Bach2,0.226485564,0.153009337,1.42E+00,0.038433423
Bach2os,0,1,0.00E+00,
Bad,0.093461204,0.515438352,5.69E-01,0.270060728
Bag1,-0.134860127,0.192084268,-1.26E+00,0.054881219
Bag2,-0.89214142,1.62E-05,-6.44E+00,3.63E-07
Bag3,-0.252166905,0.045417635,-2.17E+00,0.006755243
Bag4,0.196316495,0.085298433,1.79E+00,0.016158245
Bag5,0.047962801,0.772213672,2.48E-01,0.564483678
Bag6,-0.000707236,0.996297692,-3.76E-03,0.991373079
Bahcc1,0.07328406,0.600146889,4.52E-01,0.353352895
Bahd1,0.126383398,0.313269234,9.32E-01,0.116854397
Baiap2,-1.090022949,2.35E-08,-9.62E+00,2.39E-10
Baiap2l1,0.517988925,2.40E-08,9.61E+00,2.46E-10
Baiap2l2,0.112670725,0.346436878,8.61E-01,0.137607604
Baiap3,-0.675323188,5.12E-07,-8.16E+00,6.84E-09
Bak1,0.192555004,0.079019479,1.84E+00,0.014589227
Bambi,-0.151607145,0.301140223,-9.59E-01,0.109919117
Banf1,0.030242163,0.867203048,1.46E-01,0.714871374
Banf2,-0.005172615,1,-7.52E-02,0.840978742
Banf2os,0.140562573,0.359186639,8.34E-01,0.146475939
Bank1,0.012277809,1,1.19E-01,0.760173848
Banp,0.137566627,0.278161453,1.01E+00,0.09707765
Bap1,0.059154589,0.674535958,3.60E-01,0.436119148
Bard1,-0.042444489,0.830016259,-1.87E-01,0.650364313
Barhl1,0.007323934,1,7.68E-02,0.837835746
Barhl2,0,1,0.00E+00,
Barx1,-0.009095885,1,-1.84E-01,0.654556506
Barx2,2.322824587,4.45E-33,3.55E+01,3.41E-36
Basp1,0.005166126,1,2.97E-02,0.933915785
Batf,-0.012805499,1,-1.44E-01,0.717105874
Batf2,0.754507165,4.41E-05,5.93E+00,1.17E-06
Batf3,0.013068641,1,1.26E-01,0.748204761
Bax,0.029698595,0.863768758,1.49E-01,0.709524337
Baz1a,-0.146744287,0.224860177,-1.16E+00,0.069521307
Baz1b,-0.0105306,0.938481719,-6.26E-02,0.865795386
Baz2a,0.234613134,0.027425601,2.49E+00,0.00327259
Baz2b,0.039441775,0.815284957,2.02E-01,0.627867042
Bbc3,-0.168125907,0.283151501,-1.00E+00,0.099879678
Bbip1,-0.013591803,0.941380398,-5.99E-02,0.871190737
Bbln,-0.064053603,0.723659141,-3.04E-01,0.496747364
Bbof1,-0.74212335,0.002438512,-3.86E+00,0.000137001
Bbox1,-0.035279731,1,-2.62E-01,0.546744738
Bbs1,0.043633132,0.822416331,1.95E-01,0.638855571
Bbs10,0.020771551,0.900831945,1.05E-01,0.784604808
Bbs12,-0.222070505,0.158851621,-1.39E+00,0.040733945
Bbs2,0.145588026,0.341352949,8.71E-01,0.134554469
Bbs4,0.005546369,0.977505414,2.14E-02,0.951917692
Bbs5,0.08706738,0.609536075,4.40E-01,0.363087249
Bbs7,-0.032830261,0.872450529,-1.39E-01,0.72660631
Bbs9,0.116277181,0.471567408,6.37E-01,0.230793573
Bbx,0.075248493,0.618902981,4.29E-01,0.372444818
Bc1,-0.087758442,1,-1.05E+00,0.088814195
Bcam,-0.215135286,0.130124324,-1.52E+00,0.030093552
Bcan,-0.013522455,1,-2.90E-01,0.512333493
Bcap29,-0.022773673,0.902217439,-1.03E-01,0.789534476
Bcap31,0.111712119,0.357202304,8.38E-01,0.145203582
Bcar1,-0.00654816,0.966070856,-3.33E-02,0.926187814
Bcar3,-0.012348917,0.946816302,-5.33E-02,0.884525756
Bcas1,0.212193783,0.114339507,1.61E+00,0.024819729
Bcas1os1,-0.047742534,1,-3.75E-01,0.42124495
Bcas1os2,-0.140948155,1,-1.11E+00,0.077766267
Bcas2,-0.106708631,0.369141375,-8.13E-01,0.153783048
Bcas3,0.119349441,0.390288945,7.74E-01,0.168136173
Bcas3os1,0,1,0.00E+00,
Bcas3os2,0,1,0.00E+00,
Bcat1,0,1,0.00E+00,
Bcat2,0.041881516,0.792407213,2.27E-01,0.592362943
Bccip,-0.193983227,0.112624966,-1.61E+00,0.024306418
Bcdin3d,-0.023924389,0.90573009,-9.82E-02,0.797547122
Bche,0.189849357,0.055676034,2.04E+00,0.009015765
Bckdha,0.167164444,0.254381765,1.07E+00,0.084411495
Bckdhb,-0.427019704,0.002927775,-3.76E+00,0.00017468
Bckdk,-0.130968501,0.296974726,-9.69E-01,0.107478608
Bcl10,0.193332539,0.082371688,1.81E+00,0.015403116
Bcl11a,0.007657029,0.968232301,3.10E-02,0.931091115
Bcl11b,-0.269484245,0.01370791,-2.89E+00,0.001292155
Bcl2,-0.443824308,0.000479629,-4.74E+00,1.84E-05
Bcl2a1a,0.004424448,1,6.93E-02,0.852589568
Bcl2a1b,0.007323934,1,7.68E-02,0.837835746
Bcl2a1c,0,1,0.00E+00,
Bcl2a1d,-0.0069575,1,-5.22E-02,0.886704408
Bcl2l1,0.18894015,0.12685175,1.54E+00,0.028913438
Bcl2l10,0,1,0.00E+00,
Bcl2l11,-0.110868291,0.476238527,-6.29E-01,0.234704298
Bcl2l12,-0.010843165,0.956174669,-4.37E-02,0.904252068
Bcl2l13,0.081171945,0.490236371,6.05E-01,0.248197513
Bcl2l14,0.32508675,0.003364741,3.68E+00,0.00020731
Bcl2l15,0.094903705,0.518515905,5.64E-01,0.272830911
Bcl2l2,0.19695371,0.110598072,1.63E+00,0.023599491
Bcl3,0.02059525,0.90239498,1.02E-01,0.790118694
Bcl6,-0.103428529,0.527494054,-5.51E-01,0.28126406
Bcl6b,-0.125069669,0.407229147,-7.43E-01,0.180848979
Bcl7a,0.001518415,0.993682897,6.14E-03,0.98596585
Bcl7b,0.005643646,0.976986119,2.19E-02,0.95086786
Bcl7c,-0.192561917,0.165409938,-1.36E+00,0.043379228
Bcl9,0.289344464,0.003843725,3.61E+00,0.000244241
Bcl9l,0.208312553,0.089061921,1.77E+00,0.017132159
Bclaf1,-0.09072618,0.386418092,-7.82E-01,0.165357081
Bclaf3,-0.010509169,0.954240363,-4.59E-02,0.899632623
Bco1,-0.321305589,0.045396458,-2.17E+00,0.006741203
Bco2,0.002555713,0.989830986,1.03E-02,0.976531252
Bcor,-0.156028891,0.173417292,-1.33E+00,0.046879654
Bcorl1,0.203450687,0.087974982,1.77E+00,0.016824511
Bcr,0.061533741,0.657286153,3.79E-01,0.417553338
Bcs1l,-0.1347384,0.349876597,-8.54E-01,0.13986295
Bdh1,-0.101227173,0.4601196,-6.57E-01,0.220449951
Bdh2,-0.074537434,1,-6.39E-01,0.229783527
Bdkrb1,-0.010195306,1,-2.09E-01,0.617510578
Bdkrb2,0.01749152,1,1.03E-01,0.788990284
Bdnf,0.021848513,1,1.43E-01,0.719229719
Bdnf-as,0.011431264,1,2.35E-01,0.581892658
Bdp1,0.164575279,0.166255866,1.36E+00,0.043759852
Bean1,-0.01724095,1,-1.78E-01,0.663451194
Becn1,0.103514936,0.315562403,9.27E-01,0.118346885
Becn2,-0.020220576,1,-1.53E-01,0.703738391
Begain,0.031522637,1,4.31E-01,0.370391359
Bend2,-0.005172615,1,-7.52E-02,0.840978742
Bend3,-0.215564644,0.106137147,-1.66E+00,0.0221156
Bend4,0.007335533,1,5.05E-02,0.890210729
Bend5,0,1,0.00E+00,
Bend6,0.009322454,1,1.87E-01,0.650603056
Bend7,0.388914187,0.003247448,3.70E+00,0.000198274
Best1,-0.030414261,1,-3.28E-01,0.470361448
Best2,-0.147904947,1,-1.45E+00,0.035321856
Best3,-0.026270953,1,-1.95E-01,0.637617254
Bet1,0.053831011,0.741841745,2.81E-01,0.523589671
Bet1l,0.177166192,0.207594921,1.21E+00,0.061313092
Bex1,-0.048377323,0.798202161,-2.21E-01,0.601374532
Bex2,-0.200058946,0.200002177,-1.23E+00,0.058243463
Bex3,-0.102109337,0.461295079,-6.55E-01,0.221559089
