gene,fold.change,p.adjvalue,rank,pvalue
Dll4,0.024318578,0.972383968,2.84E-01,0.519898525
Dlst,0.004716581,0.990922016,1.48E-01,0.711594311
Dlx1,-0.005085944,1,-1.90E-01,0.64547999
Dlx1as,0,1,0.00E+00,
Dlx2,-0.012574632,1,-4.77E-01,0.333561877
Dlx3,-0.00894806,1,-3.68E-01,0.428087881
Dlx4,-0.006344571,1,-2.45E-01,0.569359139
Dlx4os,0,1,0.00E+00,
Dlx5,0,1,0.00E+00,
Dlx6,0,1,0.00E+00,
Dlx6os1,0,1,0.00E+00,
Dlx6os2,0,1,0.00E+00,
Dmac1,-0.021410749,0.955963681,-3.76E-01,0.420608633
Dmac2,-0.030181398,0.877501133,-6.08E-01,0.246643178
Dmac2l,-0.011763052,0.990922016,-1.47E-01,0.71304843
Dmap1,-0.100584401,0.606882955,-1.11E+00,0.078302466
Dmbt1,0.53765863,0.042103089,3.02E+00,0.000948498
Dmbx1,-0.002233056,1,-6.73E-02,0.85644679
Dmc1,-0.007091047,1,-9.69E-02,0.799948284
Dmd,0.053354665,0.873206952,6.23E-01,0.238172986
Dmgdh,0.007839924,1,3.13E-01,0.485937679
Dmkn,-0.005769596,1,-7.45E-02,0.842388675
Dmp1,0.007893087,1,3.16E-01,0.483084741
Dmpk,-0.019278529,0.979083013,-2.31E-01,0.587700453
Dmrt1,-0.00075393,1,-2.34E-02,0.947506268
Dmrt1i,0,1,0.00E+00,
Dmrt2,-0.019487521,1,-3.02E-01,0.499067275
Dmrt3,0,1,0.00E+00,
Dmrta1,-0.024407805,0.957976181,-3.68E-01,0.428833644
Dmrta2,-0.004854084,1,-5.97E-02,0.871497166
Dmrta2os,-0.005085944,1,-1.90E-01,0.64547999
Dmrtb1,0,1,0.00E+00,
Dmrtc1a,0,1,0.00E+00,
Dmrtc1b,0,1,0.00E+00,
Dmrtc1c1,0,1,0.00E+00,
Dmrtc1c2,0,1,0.00E+00,
Dmrtc2,0,1,0.00E+00,
Dmtf1,-0.001478761,0.999774489,-3.56E-02,0.92120461
Dmtf1l,0,1,0.00E+00,
Dmtn,0.021381075,0.977256181,2.43E-01,0.570874658
Dmwd,-0.048442634,0.843329855,-6.89E-01,0.20455809
Dmxl1,0.026997688,0.911549707,5.11E-01,0.308369715
Dmxl2,0.049963637,0.881412266,5.95E-01,0.254315036
Dna2,0.07473889,0.695696777,9.61E-01,0.109362423
Dnaaf1,-0.002181502,1,-3.67E-02,0.918938496
Dnaaf10,-0.048950671,0.865027249,-6.47E-01,0.225580478
Dnaaf11,-0.0045515,1,-1.32E-01,0.737216108
Dnaaf2,-0.017920821,0.970965247,-3.05E-01,0.495880684
Dnaaf3,0.008834769,0.994904172,1.17E-01,0.763646519
Dnaaf4,-0.001855664,0.999774489,-1.83E-02,0.958706841
Dnaaf5,-0.003047068,0.999774489,-5.61E-02,0.878781706
Dnaaf6,0,1,0.00E+00,
Dnaaf6rt,0,1,0.00E+00,
Dnaaf8,0.039788049,0.926071244,4.73E-01,0.336244369
Dnaaf9,0.005926186,0.994195446,1.28E-01,0.744924242
Dnah1,0.024184129,1,3.73E-01,0.423314472
Dnah10,-0.012230052,0.993027011,-1.39E-01,0.726673334
Dnah11,-0.038382576,0.91016142,-5.25E-01,0.298210715
Dnah12,0.02140466,0.977174834,2.47E-01,0.566123974
Dnah14,0.005332586,1,2.00E-01,0.630969336
Dnah17,-0.012698073,0.990922016,-1.59E-01,0.693394341
Dnah2,0.715371697,0.036696956,3.11E+00,0.000770276
Dnah3,0,1,0.00E+00,
Dnah5,0.028322263,1,1.01E+00,0.097925425
Dnah6,-0.003389715,1,-7.52E-02,0.841050822
Dnah7a,-0.025052883,1,-3.72E-01,0.424478022
Dnah7b,-0.008277311,1,-2.33E-01,0.584504442
Dnah7c,0.008280461,1,2.03E-01,0.626896207
Dnah8,-0.021124167,0.971265343,-2.92E-01,0.510817511
Dnah9,9.22E-05,1,1.78E-03,0.995914637
Dnai1,-0.001719617,1,-2.28E-02,0.948962628
Dnai2,0.073164298,0.670950987,1.01E+00,0.098763985
Dnai3,0.00076567,1,1.94E-02,0.95621091
Dnai4,-0.07149881,0.778450558,-8.07E-01,0.155804996
Dnai7,0.044113119,0.91016142,5.24E-01,0.299268605
Dnaja1,-0.003978308,0.994195446,-1.27E-01,0.746310482
Dnaja2,-0.002032612,0.999774489,-5.88E-02,0.873303487
Dnaja3,-0.020473819,0.953366424,-4.06E-01,0.392889495
Dnaja4,0.006486175,0.994195446,1.23E-01,0.752857845
Dnajb1,-0.006466009,0.990922016,-1.57E-01,0.69622683
Dnajb11,0.001051692,0.999774489,2.10E-02,0.952818173
Dnajb12,-0.003253117,0.998960885,-7.73E-02,0.836927773
Dnajb13,-0.020175152,0.978835287,-2.34E-01,0.582909788
Dnajb14,0.060625924,0.717617116,9.16E-01,0.12122682
Dnajb2,0.004079482,0.998960885,8.41E-02,0.82387184
Dnajb3,0.002279027,1,6.40E-02,0.862946705
Dnajb4,0.077908305,0.579442667,1.16E+00,0.068790952
Dnajb5,0.025990488,0.927830339,4.71E-01,0.338234983
Dnajb6,0.010287588,0.970965247,3.09E-01,0.491172815
Dnajb7,0.010119462,1,4.09E-01,0.389887708
Dnajb8,0,1,0.00E+00,
Dnajb9,0.021181295,0.899513586,5.55E-01,0.278748466
Dnajc1,-0.008072575,0.98163775,-2.27E-01,0.593338749
Dnajc10,0.010040366,0.975246659,2.68E-01,0.539899466
Dnajc11,-0.001423462,0.999774489,-3.46E-02,0.923492916
Dnajc12,-0.017201368,0.978835287,-2.41E-01,0.574647171
Dnajc13,0.013477561,0.971265343,2.91E-01,0.512037175
Dnajc14,0.003502257,0.996773582,1.02E-01,0.790624642
Dnajc15,-0.082752076,0.608548658,-1.10E+00,0.07921843
Dnajc16,-0.024959811,0.913232766,-5.07E-01,0.310995939
Dnajc17,-0.027026443,0.942139849,-4.32E-01,0.369751401
Dnajc18,-0.027135566,0.915697392,-4.95E-01,0.319953198
Dnajc19,-0.045165015,0.823916068,-7.15E-01,0.192734647
Dnajc2,0.003114989,0.998960885,7.38E-02,0.843670194
Dnajc21,-0.000863106,0.999774489,-2.07E-02,0.953412814
Dnajc22,0.020675663,0.978835287,2.35E-01,0.582661502
Dnajc24,0.002247286,0.999774489,2.76E-02,0.938372599
Dnajc25,-0.004928973,0.998960885,-7.50E-02,0.841418862
Dnajc27,0.043656631,0.860146105,6.55E-01,0.221133242
Dnajc28,0.009340237,0.997869176,9.96E-02,0.794968936
Dnajc3,0.00290035,0.998960885,7.34E-02,0.84443408
Dnajc30,-0.033593074,0.924940199,-4.76E-01,0.333984807
Dnajc4,-0.007841374,0.991601551,-1.45E-01,0.716164423
Dnajc5,0.007635712,0.978835287,2.36E-01,0.580382785
Dnajc5b,0,1,0.00E+00,
Dnajc5g,0,1,0.00E+00,
Dnajc6,-0.039150394,0.929497347,-4.68E-01,0.340301736
Dnajc7,-0.023611991,0.876709624,-6.12E-01,0.244306433
Dnajc8,-0.003786698,0.994904172,-1.13E-01,0.771108291
Dnajc9,-0.040823318,0.803241673,-7.53E-01,0.176410307
Dnal1,-0.024084843,0.972474853,-2.82E-01,0.522902544
Dnal4,-0.035529136,0.923019756,-4.80E-01,0.331172555
Dnali1,0.005017888,1,7.93E-02,0.833131527
Dnase1,-0.003190639,1,-7.02E-02,0.850802374
