gene,fold.change,p.adjvalue,rank,pvalue
Prr33,0.012741627,1,2.78E-01,0.527524762
Prr35,-0.00368662,1,-5.64E-02,0.87813896
Prr36,-0.024367652,0.873539377,-1.62E-01,0.689226619
Prr5,-0.126646164,0.575541431,-7.09E-01,0.195228974
Prr5l,-0.011632723,0.951199981,-5.91E-02,0.872844976
Prr7,-0.02903458,0.854329121,-1.88E-01,0.648869611
Prr9,-0.026709612,1,-4.23E-01,0.377733856
Prrc1,-0.034737943,0.874255013,-1.61E-01,0.690738847
Prrc2a,-0.016345627,0.944412624,-6.72E-02,0.856664766
Prrc2b,-0.054868587,0.798867879,-2.65E-01,0.543179343
Prrc2c,-0.075799413,0.714904895,-4.04E-01,0.394241807
Prrg1,-0.001313362,0.99501784,-6.14E-03,0.985958174
Prrg2,0.117595569,0.587883535,6.72E-01,0.212884978
Prrg3,0.015457672,1,1.68E-01,0.678464198
Prrg4,0.085507915,0.652494732,5.27E-01,0.297122483
Prrt1,-0.032515552,0.813192324,-2.44E-01,0.570154058
Prrt1b,0.030709533,0.836749616,2.12E-01,0.61404634
Prrt2,-0.022524195,0.836367959,-2.13E-01,0.612759015
Prrt3,0.017901726,1,4.12E-01,0.387466482
Prrt4,-0.009055273,1,-1.85E-01,0.652500558
Prrx1,0.029580279,0.786660776,2.87E-01,0.516670912
Prrx2,0.064807679,1,8.44E-01,0.143214576
Prss1,0,1,0.00E+00,
Prss12,0.070386847,0.565812962,7.38E-01,0.182994004
Prss16,0.120648858,0.434755505,1.12E+00,0.076253973
Prss1l,0,1,0.00E+00,
Prss2,0,1,0.00E+00,
Prss21,-0.009070152,1,-1.86E-01,0.651982075
Prss22,-0.007272255,1,-1.11E-01,0.774039044
Prss23,-0.074858268,0.714072133,-4.07E-01,0.391557262
Prss27,-0.026961048,0.874480481,-1.60E-01,0.691548874
Prss28,0,1,0.00E+00,
Prss29,0,1,0.00E+00,
Prss3,0,1,0.00E+00,
Prss30,-0.050290875,0.820708151,-2.35E-01,0.582259495
Prss32,-0.143807145,0.537761761,-8.23E-01,0.150156766
Prss33,0.010913848,1,1.16E-01,0.76523365
Prss34,0,1,0.00E+00,
Prss35,0,1,0.00E+00,
Prss36,0.074916275,0.660766571,5.10E-01,0.308857899
Prss37,0,1,0.00E+00,
Prss38,0,1,0.00E+00,
Prss39,0,1,0.00E+00,
Prss3b,0,1,0.00E+00,
Prss3l,0,1,0.00E+00,
Prss40,0,1,0.00E+00,
Prss41,-0.07037445,0.682738534,-4.67E-01,0.341389823
Prss42,0,1,0.00E+00,
Prss43,0,1,0.00E+00,
Prss44,0,1,0.00E+00,
Prss45,0,1,0.00E+00,
Prss46,0.012741627,1,2.78E-01,0.527524762
Prss47,0.004599638,1,8.69E-02,0.818568654
Prss48,0,1,0.00E+00,
Prss50,0,1,0.00E+00,
Prss51,0,1,0.00E+00,
Prss52,0,1,0.00E+00,
Prss53,-0.053604426,0.765702492,-3.19E-01,0.479609125
Prss54,0,1,0.00E+00,
Prss55,0.004906982,1,8.93E-02,0.814127145
Prss56,-0.007137883,1,-1.10E-01,0.776047824
Prss57,-0.004438103,1,-8.48E-02,0.822616082
Prss58,0,1,0.00E+00,
Prss59,0,1,0.00E+00,
Prss8,-0.091007883,0.677472245,-4.78E-01,0.332924901
Prtg,-0.017306426,0.885358144,-1.47E-01,0.712946014
Prtn3,0.004503252,1,5.73E-02,0.876338504
Prune1,-0.122333302,0.537323224,-8.25E-01,0.149739982
Prune2,0.003044162,0.988375433,1.48E-02,0.966411884
Prx,0.172108948,0.406857737,1.20E+00,0.062742378
Prxl2a,-0.128429682,0.49555422,-9.49E-01,0.112407584
Prxl2b,-0.149937774,0.505410502,-9.21E-01,0.119840561
Prxl2c,-0.103857847,0.636807188,-5.69E-01,0.269565343
Psap,-0.16836105,0.461790925,-1.04E+00,0.090289344
Psapl1,0,1,0.00E+00,
Psat1,0.006418001,0.975172206,3.18E-02,0.929442838
Psca,0,1,0.00E+00,
Psd,0.068885788,0.730530604,3.79E-01,0.418125889
Psd2,-0.027058877,1,-4.26E-01,0.37459434
Psd3,0.027209077,0.905997869,1.18E-01,0.761426643
Psd4,-0.153731847,0.50634829,-9.17E-01,0.12102031
Psen1,-0.210975084,0.380339074,-1.31E+00,0.048886037
Psen2,-0.10295979,0.631560951,-5.78E-01,0.264353305
Psenen,0.190217398,0.391912138,1.26E+00,0.055106876
Psg16,-0.035481122,1,-6.53E-01,0.222450303
Psg17,0.077982229,0.60920589,6.26E-01,0.236756477
Psg18,0,1,0.00E+00,
Psg19,-0.011091382,1,-2.34E-01,0.58358574
Psg20,0,1,0.00E+00,
