gene,fold.change,p.adjvalue,rank,pvalue
St3gal6,-0.252261721,0.125956674,-1.766825028,0.017107044
St6gal1,0.707785511,3.29E-05,6.299296283,5.02E-07
St6gal2,0,1,0,
St6galnac1,-0.081634045,1,-0.933019585,0.1166757
St6galnac2,-0.053689253,0.816836057,-0.260953499,0.548335673
St6galnac3,-0.137136188,0.426967824,-0.89191104,0.128259328
St6galnac4,-0.008276289,0.977833214,-0.03487881,0.922828906
St6galnac5,-0.101382608,0.677359745,-0.47281624,0.336653985
St6galnac6,0.002165392,0.995011186,0.008730228,0.980098607
St7,-0.041808756,0.860727814,-0.198757893,0.632764501
St7l,-0.038071694,0.874300379,-0.180430434,0.660038952
St8sia1,-0.014989776,0.958366076,-0.064630327,0.861726946
St8sia2,0.036249858,1,0.491102202,0.322773445
St8sia3,0.028113723,1,0.286893734,0.516542745
St8sia3os,0.009274557,1,0.050946995,0.889309651
St8sia4,0.00999175,0.972056514,0.043468186,0.904756712
St8sia5,0.012750673,1,0.153968666,0.70150591
St8sia6,0.526955858,0.012304945,3.160791663,0.000690571
Stab1,1.479667992,1.05E-14,16.9625735,1.09E-17
Stab2,-0.082222907,0.724403858,-0.400636991,0.397523684
Stac,0.02564675,1,0.129875034,0.74152358
Stac2,0.601786239,0.006786433,3.497710838,0.000317899
Stac3,-0.308906536,0.238082937,-1.335778309,0.046155312
Stag1,-0.105721743,0.552550129,-0.664047203,0.216746851
Stag2,0.056053556,0.794076924,0.298516338,0.502902347
Stag3,0.0556224,0.828510286,0.24440634,0.569631058
Stam,0.017415958,0.948687595,0.077025258,0.837480574
Stam2,0.070394854,0.744324155,0.373976818,0.422691176
Stambp,0.053368793,0.816655467,0.262583314,0.546281743
Stambpl1,-0.115962782,0.525002183,-0.710102324,0.194938525
Stamos,-0.00295272,1,-0.019128593,0.956910692
Stap1,-0.133304778,0.451973257,-0.845048036,0.142873592
Stap2,0.137935584,0.556115806,0.657308612,0.220136161
Star,-0.038257491,0.885682294,-0.164103764,0.685324466
Stard10,0.477464291,0.045555676,2.405447575,0.003931447
Stard13,0.146972486,0.536004256,0.692306093,0.20309251
Stard3,0.040761634,0.863207406,0.196049754,0.636722572
Stard3nl,0.02240012,0.93129157,0.099210678,0.795773224
Stard4,-0.118933585,0.519441742,-0.720167871,0.190472433
Stard5,0.56475291,0.018425823,2.927263862,0.001182323
Stard6,-0.112147027,0.643646308,-0.523594392,0.299506056
Stard7,-0.017155333,0.948511052,-0.07737651,0.836803503
Stard8,0.578327556,0.050034507,2.346228089,0.0045058
Stard9,0.621034312,0.005753675,3.588516664,0.000257919
Stat1,0.059595887,0.776710507,0.322862702,0.475485522
Stat2,-0.028250106,0.903232829,-0.135281694,0.732349359
Stat3,-0.315423513,0.094802097,-1.953318476,0.011134777
Stat4,-0.498674122,0.010160117,-3.274115308,0.000531967
Stat5a,-0.407445179,0.041668808,-2.459849411,0.003468571
Stat5b,-0.137774807,0.42352987,-0.898339725,0.12637474
Stat6,-0.041439257,0.855092096,-0.209522784,0.617272907
Stau1,-0.187712716,0.234341264,-1.347103053,0.044967314
Stau2,0.339822659,0.119523171,1.801017836,0.015811831
Stbd1,0.040702962,0.881016061,0.171279054,0.674094752
Stc1,-0.010455195,1,-0.071836685,0.847546071
Stc2,-0.020726028,1,-0.096117087,0.801461957
Steap1,0.108526699,1,1.21493897,0.060962256
Steap2,0.433475999,0.072652898,2.130734594,0.007400574
Steap3,0.227880211,0.362075288,1.021172132,0.09524186
Steap4,0.005548481,1,0.032016385,0.928931339
Steep1,-0.038542948,0.870757041,-0.185262066,0.652736554
Stfa1,0,1,0,
Stfa2,0,1,0,
Stfa2l1,0,1,0,
Stfa3,0,1,0,
Stil,0.332368765,0.129324885,1.747260483,0.017895322
Stim1,0.012678609,0.96473751,0.056094889,0.87883048
Stim2,-0.069703388,0.745015735,-0.372821192,0.423817425
Stimate,0.126575921,0.513016426,0.729955816,0.186227659
Sting1,0.226657972,0.186317994,1.513654419,0.030644009
Stip1,0.190201183,0.240791864,1.328503696,0.046934944
